,_id,company_size,joined,location,market,name,pitch,raised,stage,website
4072,5da6cc5a83093bd0fbc0c354,-,2012-01-01,San Mateo,Mobile Advertising,Admob,,797200000.0,Acquired,admob.com
4073,5da6cc5a83093bd0fbc0c355,-,2010-08-01,San Francisco,Facebook Applications,Appbistro,,600000.0,Seed,appbistro.com
4074,5da6cc5a83093bd0fbc0c356,11-50,2012-02-01,-,Native Advertising,Aviary,Photo-editing SDK and mobile apps,19000000.0,Acquired,aviary.com
4075,5da6cc5a83093bd0fbc0c357,-,2014-03-01,Palo Alto,Mobile,Blippy,,12931223.0,Series A,blippy.com
4076,5da6cc5a83093bd0fbc0c358,-,2012-01-01,San Francisco,Mobile Security,Cloudmark,,173500000.0,Acquired,cloudmark.com
4077,5da6cc5a83093bd0fbc0c359,-,2012-01-01,Brooklyn,File Sharing,Drop.io,,10050000.0,Acquired,drop.io
4078,5da6cc5a83093bd0fbc0c35a,201-500,2012-01-01,Mountain View,iPhone,Egnyte,,62500000.0,-,egnyte.com
4079,5da6cc5a83093bd0fbc0c35b,-,2012-01-01,San Francisco,Mobile,Hello Chair,,889999.0,,hellochair.com
4080,5da6cc5a83093bd0fbc0c35c,11-50,2012-05-01,San Francisco,Communities,Huddler,We Know Communities.,22750000.0,Series B,huddler.com
4081,5da6cc5a83093bd0fbc0c35d,-,2013-10-01,San Francisco,Location Based Services,SimpleGeo,,9807367.0,Acquired,simplegeo.com
4082,5da6cc5a83093bd0fbc0c35e,-,2012-01-01,Mountain View,Mobile,Tellme,,806000000.0,Acquired,tellme.com
4083,5da6cc5a83093bd0fbc0c35f,-,2012-05-01,Palo Alto,Mobile Advertising,TrialPay,Transactional advertising platform,55800000.0,Acquired,trialpay.com
4084,5da6cc5a83093bd0fbc0c360,11-50,2011-12-01,Detroit,Private Social Networking,UpTo,Expand your calendar,1500000.0,Series A,upto.com
4085,5da6cc5a83093bd0fbc0c361,11-50,2011-12-01,San Francisco,News,Circa,Object-oriented news,5557750.0,Acquired,cir.ca
4086,5da6cc5a83093bd0fbc0c362,11-50,2012-01-01,Santa Monica,Mobile Advertising,NearWoo,Rocket fuel for mobile.,1200000.0,-,nearwoo.com
4087,5da6cc5a83093bd0fbc0c363,1-10,2012-01-01,Mountain View,Marketplaces,Scoutzie,Curated marketplace for web and mobile design. (YC S12) - https://scoutzie.com,,-,scoutzie.com
4088,5da6cc5a83093bd0fbc0c364,1-10,2012-05-01,New York City,Location Based Services,Fondu,Bite-size reviews,575000.0,Acquired,fondu.com
4089,5da6cc5a83093bd0fbc0c365,1-10,2012-01-01,Boston,iPhone,Collaborate,Work Together Simply,2400000.0,Acquired,collaborate.com
4090,5da6cc5a83093bd0fbc0c366,-,2012-01-01,San Francisco,iPhone,AppMakr,The largest Do It Yourself app creation platform for non developers,1000000.0,Acquired,AppMakr.com
4091,5da6cc5a83093bd0fbc0c367,,2012-01-01,Santa Monica,Mobile Advertising,Burstly,,7300000.0,Acquired,burstly.com
4092,5da6cc5a83093bd0fbc0c368,51-200,2012-06-01,Redwood City,Cloud Computing,Clickatell,,12000000.0,Series B,clickatell.com
4093,5da6cc5a83093bd0fbc0c369,201-500,2015-05-01,San Francisco,Security,Lookout,,282000000.0,Series F,lookout.com
4094,5da6cc5a83093bd0fbc0c36a,-,2012-01-01,Redwood City,Facebook Applications,Rockyou,,172800000.0,,rockyou.com
4095,5da6cc5a83093bd0fbc0c36b,-,2012-01-01,San Francisco,Android,Seesmic,,16000000.0,Acquired,seesmic.com
4096,5da6cc5a83093bd0fbc0c36c,1-10,2012-03-01,Boston,Location Based Services,Skyhook,"Worldwide leader in location positioning, context and intelligence",16800000.0,Series C,skyhookwireless.com
4097,5da6cc5a83093bd0fbc0c36d,-,2012-01-01,New York City,SEO,Stickybits,,1900000.0,Series A,stickybits.com
4098,5da6cc5a83093bd0fbc0c36e,-,2012-01-01,San Francisco,Apps,Ustream,,103800000.0,Acquired,ustream.com
4099,5da6cc5a83093bd0fbc0c36f,-,2012-01-01,Mountain View,Mobile,Bump Technologies,,19900000.0,Acquired,bu.mp
4100,5da6cc5a83093bd0fbc0c370,1-10,2012-01-01,San Francisco,Social Travel,Jetpac,City Travel Guides from image processing of the world's Instagram photos.,2400000.0,Acquired,jetpac.com
4101,5da6cc5a83093bd0fbc0c371,1-10,2012-05-01,San Francisco,Social Television,Squrl,Effortless video through recommendations,550000.0,-,itunes.apple.com
4102,5da6cc5a83093bd0fbc0c372,-,2012-01-01,Palo Alto,iPhone,Glyde,,27000000.0,Series B,glyde.com
4103,5da6cc5a83093bd0fbc0c373,11-50,2014-09-01,Palo Alto,Mobile Advertising,Inadco,,17000000.0,Seed,inadco.com
4104,5da6cc5a83093bd0fbc0c374,1-10,2013-07-01,Santa Clara,Mobile,Plusmo,,4410000.0,Acquired,plusmo.com
4105,5da6cc5a83093bd0fbc0c375,51-200,2014-06-01,Shawnee,Enterprise Security,RiskIQ,RiskIQ is the leader in digital threat management,65500000.0,Series C,riskiq.com
4106,5da6cc5a83093bd0fbc0c376,-,2014-06-01,Herndon,Mobile Security,GigaTrust,,26200000.0,-,gigatrust.com
4107,5da6cc5a83093bd0fbc0c377,-,2012-01-01,San Francisco,Mobile,Chomp,,2565000.0,Acquired,chomp.com
4108,5da6cc5a83093bd0fbc0c378,,2015-03-01,San Francisco,Mobile,SendMe,,34500000.0,Series D,sendmemobile.com
4109,5da6cc5a83093bd0fbc0c379,-,2012-01-01,Chicago,CRM,BrightTag,,47000000.0,Series C,thebrighttag.com
4110,5da6cc5a83093bd0fbc0c37a,51-200,2013-05-01,Boston,Productivity Software,Apperian,The Mobile Application Management (MAM®) company.,35400000.0,,apperian.com
4111,5da6cc5a83093bd0fbc0c37b,51-200,2013-07-01,Boston,Recycling,Gazelle,Recommerce engine for consumer electronics and beyond.,55900000.0,-,gazelle.com
4112,5da6cc5a83093bd0fbc0c37c,51-200,2012-05-01,Cambridge,Audio,Vlingo,,251500000.0,Acquired,vlingo.com
4113,5da6cc5a83093bd0fbc0c37d,11-50,2011-04-01,San Francisco,Marketplaces,Red Tricycle,Fueling the Parenting Universe With Daily Inspiration for Family Fun,3400000.0,,redtri.com
4114,5da6cc5a83093bd0fbc0c37e,11-50,2011-06-01,San Francisco,Private Social Networking,Spill,Bringing empathy online,,Acquired,SpillNow.com
4115,5da6cc5a83093bd0fbc0c37f,-,2011-05-01,Seattle,Apps,MobileDevHQ,Inbound marketing SaaS for mobile apps. SEOmoz/HubSpot for apps.,1050000.0,Acquired,mobiledevhq.com
4116,5da6cc5a83093bd0fbc0c380,11-50,2011-05-01,San Francisco,Video,Telly,Social Video Network,21400000.0,,telly.com
4117,5da6cc5a83093bd0fbc0c381,11-50,2012-12-01,San Mateo,Small and Medium Businesses,Mojave Networks,Cloud-based Mobile Security,5000000.0,Acquired,mojave.net
4118,5da6cc5a83093bd0fbc0c382,11-50,2011-06-01,San Francisco,Advertising Exchanges,TapSense,Mobile Marketing Solved,,-,tapsense.com
4119,5da6cc5a83093bd0fbc0c383,11-50,2011-08-01,New York City,Ott,MAZ Systems,The Content Logistics Company,2100000.0,Seed,mazsystems.com
4120,5da6cc5a83093bd0fbc0c384,1-10,2011-08-01,San Francisco,Photo Sharing,Everpix,"Your photo mess, solved.",1800000.0,Acquired,everpix.com
4121,5da6cc5a83093bd0fbc0c385,,2013-06-01,Amsterdam,Messaging,eBuddy,Web & Smartphone Instant Messenger with 400m downloads.,,Acquired,ebuddyxms.com
4122,5da6cc5a83093bd0fbc0c386,11-50,2012-02-01,San Francisco,Video,"Replay, by Stupeflix",Instant movies on iOS,,Acquired,replayapp.com
4123,5da6cc5a83093bd0fbc0c387,11-50,2011-05-01,San Francisco,Mobile Advertising,Heyzap,Mobile Advertising Done Right,52980000.0,Acquired,heyzap.com
4124,5da6cc5b83093bd0fbc0c388,-,2011-05-01,Palo Alto,Location Based Services,WiFiSLAM,Indoor GPS,,Acquired,wifislam.com
4125,5da6cc5b83093bd0fbc0c389,-,2011-06-01,Boston,Crowdsourcing,Appswell,Consumer crowdsourcing platform for brand fans,10000.0,Seed,appswell.com
4126,5da6cc5b83093bd0fbc0c38a,-,2010-02-01,San Francisco,iPhone,WakeMate,Sleep less. Feel better.,,Seed,wakemate.com
4127,5da6cc5b83093bd0fbc0c38b,11-50,2010-03-01,San Francisco,Location Based Services,Foodspotting (Part of OpenTable),"Find & share great dishes, not just restaurants",13750000.0,Acquired,foodspotting.com
4128,5da6cc5b83093bd0fbc0c38c,1-10,2011-07-01,San Francisco,Location Based Services,Localmind,Foursquare meets Quora meets Omniscience,600000.0,Acquired,localmind.com
4129,5da6cc5b83093bd0fbc0c38d,-,2011-06-01,San Francisco,Location Based Services,Viatask,Let others run your errands,,-,viatask.com
4130,5da6cc5b83093bd0fbc0c38e,1-10,2011-06-01,Boston,Location Based Services,ByteLight,ByteLight is a new approach to indoor location.,4250000.0,Acquired,bytelight.com
4131,5da6cc5b83093bd0fbc0c38f,1-10,2010-05-01,San Francisco,Tablets,Hitpost,Acquired by Yahoo!,2000000.0,Acquired,hitpost.com
4132,5da6cc5b83093bd0fbc0c390,1-10,2011-12-01,San Francisco,Social Media Platforms,Ark,Modern People Search Engine. YC W2012. Ark.com,4200000.0,Seed,ark.com
4133,5da6cc5b83093bd0fbc0c391,1-10,2011-08-01,Southern California,Mobile Advertising,NewHound,We help businesses acquire and understand local customers,1500000.0,Seed,NewHound.com
4134,5da6cc5b83093bd0fbc0c392,-,2011-08-01,San Francisco,Photo Sharing,Picplum,Access and share your photos & videos from any device,,-,picplum.com
4135,5da6ccd083093bd0fbc0c393,-,2012-03-01,Boulder,Direct Marketing,SpotRight,Social Data Platform for Direct Response Marketers.,3258969.0,-,spotright.com
4136,5da6ccd083093bd0fbc0c394,11-50,2011-09-01,Chicago,Restaurants,Food Genius,Feeding the foodservice Industry smarter data and analytics.,2475000.0,Acquired,getfoodgenius.com
4137,5da6ccd083093bd0fbc0c395,-,2011-10-01,San Francisco,Women-Focused,Tailored,Personalized wedding shopping and intelligent customer acquisition for retailers [500 F11],,-,tailored.co
4138,5da6ccd083093bd0fbc0c396,11-50,2011-11-01,Redwood City,Semantic Search,Yummly,The smart and personal platform for taste that answers “What’s for dinner?”.,23658700.0,Acquired,yummly.com
4139,5da6ccd083093bd0fbc0c397,1-10,2011-11-01,Los Angeles,Data Mining,Small Demons,Welcome to the Storyverse,,-,smalldemons.com
4140,5da6ccd083093bd0fbc0c398,11-50,2014-11-01,Mountain View,Developer APIs,Diffbot,We structure the world's knowledge,10000000.0,,diffbot.com
4141,5da6ccd083093bd0fbc0c399,1-10,2013-02-01,San Francisco,Messaging,Rapleaf,,16000000.0,Acquired,rapleaf.com
4142,5da6ccd083093bd0fbc0c39a,1-10,2012-02-01,San Francisco,Data Mining,Priceonomics,The Price Guide for Everything,1670000.0,Seed,priceonomics.com
4143,5da6ccd083093bd0fbc0c39b,1-10,2012-03-01,Boulder,Developer APIs,Precog,Deep Insights on Diverse Data,2818000.0,Acquired,precog.com
4144,5da6ccd083093bd0fbc0c39c,11-50,2012-07-01,New York City,Nonprofits,WeDidIt,The fundraising platform for fiscally sponsored projects. [500 startups B10],1600000.0,Seed,wedid.it
4145,5da6ccd083093bd0fbc0c39d,1-10,2012-06-01,San Francisco,Data Mining,Airseed,Customer & Loyalty Intelligence,,-,airseed.com
4146,5da6ccd083093bd0fbc0c39e,11-50,2012-09-01,San Francisco,Data Mining,Preact,Reduce Churn. Acquire Customers. Drive Upsells.,11600000.0,Acquired,preact.com
4147,5da6ccd083093bd0fbc0c39f,1-10,2013-04-01,San Francisco,Data Mining,Parastructure,Analysis + visualization for modern data science and infrastructure.,,Acquired,parastructure.com
4148,5da6ccd083093bd0fbc0c3a0,1-10,2015-04-01,San Francisco,Data Mining,Kimono Labs,Create an API for any website from your browser,,Acquired,kimonolabs.com
4149,5da6ccd083093bd0fbc0c3a1,1-10,2011-09-01,New York City,Data Mining,Enliken,Enliken is the Visa of the data economy. We help people and businesses transact with data.,200000.0,Seed,enliken.com
4150,5da6ccd083093bd0fbc0c3a2,-,2011-10-01,Menlo Park,Data Mining,ShopSanity,Abacus Alliance using E-Receipts,,-,shopsanity.com
4151,5da6ccd083093bd0fbc0c3a3,11-50,2013-04-01,United States,Supply Chain Management,ImportGenius,Shipping databases for global trade,,-,ImportGenius.com
4152,5da6ccd083093bd0fbc0c3a4,1-10,2012-03-01,Austin,Facebook Applications,Polygraph Media,Data Science meets Social Advertising,235000.0,Seed,polygraphmedia.com
4153,5da6ccd083093bd0fbc0c3a5,51-200,2012-04-01,San Francisco,Market Research,InfoScout,We Help Brands Grow,21400000.0,Acquired,infoscout.co
4154,5da6ccd083093bd0fbc0c3a6,1-10,2013-05-01,San Francisco,Retail Technology,42 Technologies,Modern retail intelligence (YC W14),,-,42technologies.com
4155,5da6ccd083093bd0fbc0c3a7,1-10,2013-06-01,Washington DC,Social Media Platforms,nvite,"A sophisticated, #social and seamless event ticketing, RSVP and guest management platform",1000000.0,Acquired,nvite.com
4156,5da6ccd083093bd0fbc0c3a8,1-10,2015-01-01,Raleigh,Data Mining,Offline,Avoid Average Weekends,,-,get-offline.com
4157,5da6ccd083093bd0fbc0c3a9,1-10,2013-05-01,San Francisco,Data Mining,GetData,Turning the Web into a Giant Graph Database of Human Knowledge.,,-,getdata.io
4158,5da6ccd083093bd0fbc0c3aa,1-10,2013-05-01,Silicon Valley,Data Mining,Silicon Valley Data Science,Make your intelligent business data driven,3050000.0,Series A,svds.com
4159,5da6ccd083093bd0fbc0c3ab,1-10,2013-11-01,San Francisco,Data Mining,Civic Insight,"Making data about buildings easy to search, visualize and analyze.",,Acquired,civicinsight.com
4160,5da6ccd083093bd0fbc0c3ac,1-10,2014-06-01,Cambridge,Visualization,VisiTrend,Interactive visual analytics for everything from web apps to advanced data analysis.,1250000.0,Seed,visitrend.tumblr.com
4161,5da6ccd083093bd0fbc0c3ad,11-50,2015-07-01,Austin,Data Mining,New Knowledge,Fighting disinformation online,2018000.0,Seed,newknowledge.io
4162,5da6ccd083093bd0fbc0c3ae,11-50,2015-07-01,Washington DC,Groceries,Datasembly,Competitive and compliance intelligence monitoring for retailers and manufacturers,1500000.0,Seed,datasembly.com
4163,5da6ccd083093bd0fbc0c3af,1-10,2015-11-01,Austin,Personal Finance,Stacks,Your personal AI CFO,,-,trystacks.com
4164,5da6ccd083093bd0fbc0c3b0,1-10,2015-11-01,Montreal,Data Mining,Delve Labs,Complete enterprise security coverage through nonstop autonomous pentest,,-,delvelabs.ca
4165,5da6ccd083093bd0fbc0c3b1,1-10,2013-10-01,Cambridge,Retail Technology,OmniLync,"Powering the Latest in Loyalty, Shopper Marketing, and Data Analytics for SMB Retail",,-,omnilync.com
4166,5da6ccd083093bd0fbc0c3b2,-,2011-07-01,Santa Barbara,Lead Generation,HG Data Company,Applied Data Science.,18260000.0,,hgdata.com
4167,5da6ccd083093bd0fbc0c3b3,-,2011-09-01,Boston,Social Recruiting,SMAK,Personal HubSpot for Recruiters,,-,mysmak.com
4168,5da6ccd083093bd0fbc0c3b4,-,2011-10-01,San Francisco,Crowdsourcing,Tellmetwin,Discover Entertainment - ask your twins,250000.0,Seed,tellmetwin.com
4169,5da6ccd083093bd0fbc0c3b5,-,2012-09-01,St. Louis,Information Services,FoodEssentials,Big Data for Grocery,750000.0,-,FoodEssentials.com
4170,5da6ccd083093bd0fbc0c3b6,-,2012-11-01,San Francisco,Data Mining,Xigo,,,Acquired,xigo.com
4171,5da6ccd083093bd0fbc0c3b7,-,2012-02-01,Boston,Personal Data,VerdictAdvantage,Juror intelligence for trial lawyers,,-,verdictadvantage.com
4172,5da6ccd083093bd0fbc0c3b8,11-50,2012-04-01,Austin,Lead Generation,Datafiniti,Premium Data Sets to Power Your Business,,-,datafiniti.co
4173,5da6ccd083093bd0fbc0c3b9,-,2012-09-01,Wollongong,Data Mining,Correct The Web,Makes every website editable,,-,correcttheweb.com
4174,5da6ccd083093bd0fbc0c3ba,1-10,2012-12-01,Baltimore,B2B,HDScores,Credit Bureau for Restaurants based on Health Inspection Data,,-,HDScores.com
4175,5da6ccd083093bd0fbc0c3bb,1-10,2013-05-01,Tel Aviv-Yafo,Data Mining,whodoyou,"Turning social conversations into trusted, structured recommendations",900000.0,Seed,whodoyou.com
4176,5da6ccd083093bd0fbc0c3bc,1-10,2013-05-01,Cambridge,Data Mining,Spokepoint,Real-time journalist search engine,,-,spokepoint.com
4177,5da6ccd083093bd0fbc0c3bd,11-50,2013-11-01,Boulder,Mobile Commerce,Makeena,Shopper Engagement & Insights Platform for the $206B Natural Products Industry,76455.0,Seed,makeena.com
4178,5da6ccd083093bd0fbc0c3be,11-50,2014-01-01,Palo Alto,Data Mining,Kyron,Big data for clinical insight,3000000.0,Seed,kyron.com
4179,5da6ccd083093bd0fbc0c3bf,11-50,2014-06-01,Palo Alto,Data Mining,Omniscience,Lego for data product makers,,-,omniscience.com
4180,5da6ccd083093bd0fbc0c3c0,,2015-03-01,Oslo,Loyalty Programs,mCASH,,9000000.0,Seed,mcash.no
4181,5da6ccd083093bd0fbc0c3c1,1-10,2015-07-01,Durham,Lead Generation,First,Predictive Analytics for Real Estate,750000.0,Seed,first.io
4182,5da6ccd083093bd0fbc0c3c2,1-10,2015-03-01,Utica,Data Mining,Land Air Sea Enterprises (LASE),eDiscovery: Removing Redundant Info from Digital Documents (RRIDD),,-,academy.wasabiventures.com
4183,5da6ccd083093bd0fbc0c3c3,51-200,2015-04-01,London,Data Mining,Privitar,Engineering Privacy,56000000.0,Series B,privitar.com
4184,5da6ccd083093bd0fbc0c3c4,11-50,2016-04-01,Montreal,Data Mining,Datalogue,The data operations platform for data-driven businesses,,-,datalogue.io
4185,5da6ccd083093bd0fbc0c3c5,1-10,2012-02-01,United Kingdom,Data Mining,Deltasight,Gathering and visualizing the world’s innovation data.,,-,deltasight.com
4186,5da6ccd083093bd0fbc0c3c6,,2011-11-01,Dallas,Manufacturing,Brand Protection Agency,Online Market Insight & Visibility,,-,brandprotectionagency.com
4187,5da6ccd083093bd0fbc0c3c7,-,2012-01-01,San Francisco,Data Mining,Kxen,,8000000.0,Acquired,kxen.com
4188,5da6ccd083093bd0fbc0c3c8,-,2012-01-01,New Brunswick,Data Mining,Connotate,,12250000.0,Series B,connotate.com
4189,5da6ccd083093bd0fbc0c3c9,1-10,2012-02-01,San Francisco,Governments,RedBlueYou,A new take on public records,150000.0,Seed,redblueyou.com
4190,5da6ccd083093bd0fbc0c3ca,1-10,2012-11-01,Portland,Social Media Platforms,Wikisway,A powerful new view of the world.,140000.0,-,wikisway.com
4191,5da6ccd083093bd0fbc0c3cb,1-10,2013-02-01,Minneapolis,Bioinformatics,Miinome,The first consumer genetic recommendation platform,,-,miinome.com
4192,5da6ccd083093bd0fbc0c3cc,1-10,2013-03-01,Sofia,Data Mining,StatAce,Online statistical analysis,126000.0,Seed,statace.com
4193,5da6ccd083093bd0fbc0c3cd,1-10,2013-07-01,Seattle,Data Mining,Taia Global,A Knowledge Engine that can tell you who wants your IP and how they may steal it.,,-,taiaglobal.com
4194,5da6ccd083093bd0fbc0c3ce,11-50,2013-11-01,Palo Alto,Real Time,Commerce Signals,Unlocking Data In Your Environment For Permissioned Use,16000000.0,Series B,commercesignals.com
4195,5da6ccd083093bd0fbc0c3cf,1-10,2016-03-01,Santa Cruz,Mobile Advertising,Recombinant,We Put the Fan in the Band,800000.0,Seed,recombinantinc.com
4196,5da6ccd083093bd0fbc0c3d0,1-10,2014-02-01,Palo Alto,Optimization,Quasi Convex Union,Pioneering efficient frontiers,,-,convex.io
4197,5da6ccd083093bd0fbc0c3d1,1-10,2014-04-01,Miami,Mobile Advertising,Handprint,International Visitor Analytics & Marketing Platform,175000.0,Seed,handprint.me
4198,5da6ccd083093bd0fbc0c3d2,1-10,2015-09-01,Bengaluru,Mobile Commerce,Qureto,Data-driven Fashion Discovery and Search,,-,bigclozet.com
